phoneme_id,phoneme,word,start,end,mean_attention,max_attention
p001,M,my,1.094672907952837,1.1702789680296029,0.0028571724720397743,0.0031841702914486326
p002,AY,my,1.1702789680296029,1.2458850281063685,0.0032060416053294885,0.0035642312180935443
p003,V,voice,1.3131979871817974,1.4171094837388263,0.003040196006474858,0.0032242738926369315
p004,OY,voice,1.4171094837388263,1.521020980295855,0.0032421433146577697,0.003457667234226363
p005,S,voice,1.521020980295855,1.624932476852884,0.003534464252810192,0.0037689197303042697
p006,IH,is,1.8500201695916059,1.8922479972698207,0.002915534927856981,0.0031055427652895156
p007,Z,is,1.8922479972698207,1.9344758249480354,0.0030300199757897265,0.003188987412394433
p008,M,my,1.998130851337361,2.0804757470082977,0.0036660955185141408,0.004045908222906296
p009,AY,my,2.0804757470082977,2.1628206426792342,0.0036482785401057865,0.004083613766970223
p010,P,password,2.257188189965307,2.3532777984394615,0.0027283649051534076,0.0034057892031139586
p011,AE,password,2.3532777984394615,2.449367406913616,0.0026809485228214826,0.0031434007904404745
p012,S,password,2.449367406913616,2.545457015387771,0.0031415243186832726,0.0035782617351645223
p013,W,password,2.545457015387771,2.6415466238619256,0.0034203035618739727,0.004051715236069617
p014,ER,password,2.6415466238619256,2.7376362323360803,0.0023513171191332596,0.002644951930906402
p015,D,password,2.7376362323360803,2.833725840810235,0.0025651343739551743,0.0029720968725040317
