rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,NG,thing,1.4984,1.5636,150,156,1,0.003862,0.000786,4.9636,1.0095
2,N,no,0.8035,0.9012,80,90,2,0.003847,0.000503,4.9441,0.6467
3,DH,there's,0.5212,0.5700,52,57,1,0.003840,0.000870,4.9344,1.1187
4,S,such,1.0858,1.1509,109,115,1,0.003796,0.000669,4.8778,0.8592
5,CH,such,1.2161,1.2812,122,128,2,0.003762,0.000472,4.8348,0.6065
6,AE,as,1.6504,1.7481,165,175,1,0.003731,0.000514,4.7948,0.6603
7,Z,there's,0.6678,0.7166,67,72,2,0.003730,0.000766,4.7940,0.9840
8,OW,no,0.9012,0.9989,90,100,1,0.003692,0.000453,4.7447,0.5826
9,R,there's,0.6189,0.6678,62,67,2,0.003680,0.000772,4.7295,0.9918
10,Z,as,1.7481,1.8459,175,185,2,0.003666,0.000455,4.7109,0.5852
11,TH,thing,1.3681,1.4333,137,143,1,0.003663,0.000502,4.7078,0.6445
12,IH,thing,1.4333,1.4984,143,150,1,0.003659,0.000525,4.7021,0.6748
13,EH,there's,0.5700,0.6189,57,62,1,0.003653,0.000636,4.6946,0.8179
14,AH,such,1.1509,1.2161,115,122,3,0.003648,0.000550,4.6878,0.7070
15,F,free,2.2150,2.2802,222,228,1,0.003505,0.000501,4.5042,0.6443
16,R,free,2.2802,2.3453,228,235,2,0.003441,0.000477,4.4227,0.6124
17,AH,a,1.9327,2.1282,193,213,3,0.003371,0.000351,4.3327,0.4506
18,IY,free,2.3453,2.4105,235,241,1,0.003370,0.000465,4.3311,0.5978
19,L,lunch,2.4973,2.5462,250,255,1,0.003076,0.000536,3.9526,0.6888
20,AH,lunch,2.5462,2.5951,255,260,3,0.003010,0.000597,3.8676,0.7667
21,N,lunch,2.5951,2.6439,260,264,2,0.002921,0.000703,3.7544,0.9033
22,CH,lunch,2.6439,2.6928,264,269,2,0.002890,0.000874,3.7136,1.1228
