rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,JH,intelligence,2.5283,2.6288,253,263,1,0.002864,0.000472,4.3441,0.7155
2,S,intelligence,2.8297,2.9302,283,293,1,0.002766,0.000550,4.1954,0.8338
3,EH,intelligence,2.2270,2.3274,223,233,1,0.002704,0.000344,4.1023,0.5212
4,N,intelligence,2.7293,2.8297,273,283,2,0.002680,0.000292,4.0645,0.4427
5,IH,artificial,1.3475,1.4591,135,146,3,0.002677,0.000137,4.0614,0.2081
6,AH,artificial,1.1242,1.2359,112,124,4,0.002638,0.000543,4.0010,0.8231
7,IH,intelligence,1.9256,2.0260,193,203,3,0.002637,0.000717,3.9999,1.0877
8,L,artificial,1.6824,1.7940,168,179,3,0.002629,0.000388,3.9884,0.5883
9,AH,artificial,1.5707,1.6824,157,168,4,0.002611,0.000274,3.9603,0.4155
10,Z,is,3.1873,3.3129,319,331,1,0.002603,0.000332,3.9488,0.5036
11,F,artificial,1.2359,1.3475,124,135,2,0.002600,0.000306,3.9441,0.4644
12,AH,intelligence,2.4279,2.5283,243,253,4,0.002591,0.000272,3.9304,0.4124
13,IH,is,3.0618,3.1873,306,319,3,0.002586,0.000353,3.9231,0.5355
14,L,intelligence,2.3274,2.4279,233,243,3,0.002561,0.000411,3.8851,0.6235
15,T,intelligence,2.1265,2.2270,213,223,2,0.002542,0.000278,3.8565,0.4224
16,SH,artificial,1.4591,1.5707,146,157,1,0.002526,0.000117,3.8309,0.1780
17,N,intelligence,2.0260,2.1265,203,213,2,0.002517,0.000343,3.8177,0.5197
18,AH,intelligence,2.6288,2.7293,263,273,4,0.002509,0.000381,3.8053,0.5786
19,T,artificial,1.0126,1.1242,101,112,2,0.002311,0.000470,3.5053,0.7133
20,R,artificial,0.9010,1.0126,90,101,3,0.002220,0.000543,3.3672,0.8234
21,F,for,3.4445,3.5282,344,353,2,0.002162,0.000501,3.2792,0.7605
22,IY,real,3.9109,3.9946,391,399,1,0.002096,0.000262,3.1790,0.3976
23,R,for,3.6119,3.6956,361,370,3,0.002069,0.000174,3.1386,0.2638
24,R,real,3.8272,3.9109,383,391,3,0.002043,0.000233,3.0987,0.3533
25,L,real,3.9946,4.0784,399,408,3,0.001987,0.000176,3.0147,0.2666
26,AA,artificial,0.7894,0.9010,79,90,1,0.001942,0.000295,2.9455,0.4477
27,AO,for,3.5282,3.6119,353,361,1,0.001854,0.000262,2.8126,0.3976
