rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,IH,artificial,0.6947,0.7522,69,75,3,0.005374,0.001161,4.3552,0.9409
2,L,intelligence,1.1999,1.2517,120,125,3,0.005155,0.001136,4.1779,0.9206
3,SH,artificial,0.7522,0.8098,75,81,1,0.005076,0.001142,4.1139,0.9257
4,EH,intelligence,1.1481,1.1999,115,120,1,0.005046,0.001227,4.0891,0.9941
5,T,artificial,0.5220,0.5796,52,58,2,0.004986,0.001138,4.0412,0.9220
6,AH,intelligence,1.3553,1.4071,136,141,4,0.004924,0.000712,3.9905,0.5769
7,F,artificial,0.6371,0.6947,64,69,2,0.004911,0.001013,3.9800,0.8212
8,AH,artificial,0.5796,0.6371,58,64,4,0.004904,0.001484,3.9746,1.2026
9,N,intelligence,1.0445,1.0963,104,110,2,0.004715,0.000745,3.8212,0.6042
10,AH,intelligence,1.2517,1.3035,125,130,4,0.004684,0.000853,3.7957,0.6912
11,L,artificial,0.8673,0.9249,87,92,3,0.004657,0.000768,3.7745,0.6222
12,AH,artificial,0.8098,0.8673,81,87,4,0.004655,0.000566,3.7724,0.4584
13,JH,intelligence,1.3035,1.3553,130,136,1,0.004636,0.000734,3.7573,0.5950
14,R,artificial,0.4645,0.5220,46,52,3,0.004602,0.000724,3.7297,0.5867
15,IH,intelligence,0.9927,1.0445,99,104,3,0.004587,0.000988,3.7171,0.8005
16,N,intelligence,1.4071,1.4588,141,146,2,0.004584,0.000962,3.7152,0.7796
17,AA,artificial,0.4069,0.4645,41,46,1,0.004572,0.000721,3.7056,0.5846
18,T,intelligence,1.0963,1.1481,110,115,2,0.004458,0.000766,3.6132,0.6207
19,F,for,1.7758,1.8189,178,182,2,0.004234,0.001048,3.4315,0.8491
20,L,real,2.0594,2.1026,206,210,3,0.004207,0.000938,3.4095,0.7599
21,IY,real,2.0162,2.0594,202,206,1,0.004178,0.000907,3.3861,0.7353
22,R,real,1.9731,2.0162,197,202,3,0.004168,0.000920,3.3776,0.7456
23,AO,for,1.8189,1.8621,182,186,1,0.004167,0.000927,3.3767,0.7515
24,R,for,1.8621,1.9053,186,191,3,0.004132,0.001000,3.3487,0.8104
25,S,intelligence,1.4588,1.5106,146,151,1,0.003945,0.000684,3.1973,0.5542
26,IH,is,1.5785,1.6432,158,164,3,0.003939,0.000924,3.1920,0.7491
27,Z,is,1.6432,1.7080,164,171,1,0.003894,0.001038,3.1562,0.8411
