rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,K,ok,0.4829,0.6760,48,68,1,0.008079,0.001635,16.3138,3.3014
2,EY,ok,0.6760,0.8692,68,87,1,0.007249,0.000835,14.6379,1.6852
3,OW,ok,0.2897,0.4829,29,48,1,0.007211,0.001643,14.5616,3.3172
4,G,google,0.9175,1.0334,92,103,2,0.006589,0.001127,13.3051,2.2763
5,UW,google,1.0334,1.1493,103,115,1,0.005441,0.000870,10.9869,1.7576
6,G,google,1.1493,1.2651,115,127,2,0.005131,0.001012,10.3622,2.0441
7,L,google,1.3810,1.4969,138,150,1,0.004965,0.001134,10.0269,2.2892
8,AH,google,1.2651,1.3810,127,138,1,0.004856,0.000824,9.8056,1.6647
