rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,AH,love,1.8279,1.9120,183,191,2,0.003995,0.000489,5.5102,0.6747
2,AH,millionaires,2.4244,2.5085,242,251,2,0.003992,0.000723,5.5054,0.9968
3,V,love,1.9120,1.9961,191,200,1,0.003909,0.000723,5.3917,0.9969
4,M,millionaires,2.0879,2.1720,209,217,1,0.003799,0.000741,5.2387,1.0220
5,ER,lawyers,1.4500,1.5510,145,155,1,0.003674,0.000405,5.0670,0.5585
6,IH,millionaires,2.1720,2.2561,217,226,1,0.003671,0.000417,5.0624,0.5750
7,Y,lawyers,1.3491,1.4500,135,145,2,0.003613,0.000614,4.9828,0.8472
8,AO,lawyers,1.2481,1.3491,125,135,1,0.003567,0.000682,4.9192,0.9404
9,Y,millionaires,2.3403,2.4244,234,242,2,0.003517,0.000669,4.8503,0.9221
10,L,millionaires,2.2561,2.3403,226,234,4,0.003494,0.000802,4.8188,1.1057
11,L,lawyers,1.1472,1.2481,115,125,4,0.003473,0.000817,4.7893,1.1270
12,Z,lawyers,1.5510,1.6520,155,165,2,0.003466,0.000729,4.7794,1.0058
13,L,love,1.7437,1.8279,174,183,4,0.003421,0.000715,4.7181,0.9855
14,IY,only,0.9292,1.0554,93,106,1,0.003318,0.000807,4.5756,1.1129
15,N,millionaires,2.5085,2.5926,251,259,2,0.003260,0.000701,4.4966,0.9666
16,R,millionaires,2.6768,2.7609,268,276,1,0.003178,0.000745,4.3833,1.0279
17,Z,millionaires,2.7609,2.8450,276,285,2,0.003106,0.000748,4.2833,1.0311
18,EH,millionaires,2.5926,2.6768,259,268,1,0.003101,0.000681,4.2771,0.9394
19,OW,only,0.5506,0.6768,55,68,1,0.003034,0.000864,4.1839,1.1912
20,L,only,0.8030,0.9292,80,93,4,0.003007,0.000581,4.1477,0.8019
21,N,only,0.6768,0.8030,68,80,2,0.002914,0.000626,4.0194,0.8629
