rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,SH,actions,0.4977,0.5600,50,56,1,0.005841,0.001205,5.5632,1.1474
2,D,louder,1.2444,1.3377,124,134,2,0.005433,0.001138,5.1750,1.0842
3,K,actions,0.4355,0.4977,44,50,2,0.005384,0.001084,5.1282,1.0325
4,AH,actions,0.5600,0.6222,56,62,1,0.005345,0.000921,5.0908,0.8773
5,N,actions,0.6222,0.6844,62,68,2,0.005302,0.001025,5.0502,0.9764
6,AE,actions,0.3733,0.4355,37,44,2,0.005298,0.001056,5.0461,1.0054
7,L,louder,1.0577,1.1510,106,115,1,0.005253,0.001222,5.0030,1.1642
8,AW,louder,1.1510,1.2444,115,124,1,0.005229,0.001143,4.9802,1.0888
9,K,speak,0.9488,0.9955,95,100,2,0.005212,0.001171,4.9638,1.1157
10,Z,actions,0.6844,0.7466,68,75,2,0.005130,0.001110,4.8856,1.0573
11,AE,than,1.5554,1.6177,156,162,2,0.005005,0.001145,4.7673,1.0903
12,P,speak,0.8555,0.9022,86,90,1,0.004969,0.001355,4.7328,1.2907
13,IY,speak,0.9022,0.9488,90,95,1,0.004905,0.001168,4.6717,1.1123
14,ER,louder,1.3377,1.4310,134,143,2,0.004848,0.000955,4.6175,0.9095
15,N,than,1.6177,1.6799,162,168,2,0.004842,0.000955,4.6116,0.9097
16,S,speak,0.8088,0.8555,81,86,1,0.004826,0.001238,4.5969,1.1791
17,W,words,1.7421,1.7888,174,179,1,0.004763,0.000941,4.5368,0.8962
18,DH,than,1.4932,1.5554,149,156,1,0.004581,0.000973,4.3627,0.9272
19,ER,words,1.7888,1.8354,179,184,2,0.004480,0.000963,4.2674,0.9168
20,Z,words,1.8821,1.9288,188,193,2,0.004203,0.001029,4.0032,0.9801
21,D,words,1.8354,1.8821,184,188,2,0.004143,0.001043,3.9459,0.9934
