rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,IY,speak,1.6484,1.7336,165,173,1,0.003337,0.000837,5.7029,1.4307
2,P,speak,1.5631,1.6484,156,165,1,0.003190,0.000853,5.4520,1.4572
3,DH,than,2.7283,2.8420,273,284,1,0.003145,0.000608,5.3757,1.0384
4,AW,louder,2.1031,2.2736,210,227,1,0.003054,0.000731,5.2197,1.2487
5,S,speak,1.4778,1.5631,148,156,1,0.002949,0.000760,5.0402,1.2990
6,ER,louder,2.4441,2.6146,244,261,2,0.002918,0.000462,4.9873,0.7899
7,D,louder,2.2736,2.4441,227,244,2,0.002905,0.000357,4.9652,0.6101
8,L,louder,1.9326,2.1031,193,210,1,0.002892,0.000470,4.9420,0.8031
9,K,speak,1.7336,1.8189,173,182,2,0.002870,0.000510,4.9049,0.8711
10,N,actions,1.1368,1.2505,114,125,2,0.002795,0.000937,4.7761,1.6013
11,Z,actions,1.2505,1.3642,125,136,2,0.002766,0.000678,4.7280,1.1595
12,ER,words,3.2683,3.3536,327,335,2,0.002729,0.000488,4.6638,0.8347
13,AH,actions,1.0231,1.1368,102,114,1,0.002707,0.000895,4.6270,1.5299
14,D,words,3.3536,3.4388,335,344,2,0.002672,0.000310,4.5673,0.5305
15,W,words,3.1830,3.2683,318,327,1,0.002664,0.000494,4.5533,0.8442
16,SH,actions,0.9094,1.0231,91,102,1,0.002609,0.000857,4.4584,1.4641
17,K,actions,0.7958,0.9094,80,91,2,0.002518,0.000801,4.3026,1.3695
18,N,than,2.9557,3.0694,296,307,2,0.002490,0.000270,4.2548,0.4615
19,Z,words,3.4388,3.5241,344,352,2,0.002458,0.000431,4.2001,0.7372
20,AE,than,2.8420,2.9557,284,296,2,0.002443,0.000379,4.1759,0.6481
21,AE,actions,0.6821,0.7958,68,80,2,0.002401,0.000657,4.1027,1.1229
