rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,Z,is,1.0308,1.0786,103,108,1,0.005422,0.001030,7.3778,1.4016
2,IH,is,0.9830,1.0308,98,103,1,0.005369,0.000887,7.3057,1.2076
3,W,password,1.6167,1.7067,162,171,1,0.005340,0.000976,7.2666,1.3278
4,S,voice,0.7676,0.8734,77,87,2,0.005236,0.000679,7.1254,0.9241
5,OY,voice,0.6619,0.7676,66,77,1,0.005023,0.000683,6.8348,0.9300
6,V,voice,0.5561,0.6619,56,66,1,0.004990,0.000602,6.7902,0.8196
7,M,my,1.1342,1.2056,113,121,2,0.004950,0.000852,6.7353,1.1598
8,S,password,1.5266,1.6167,153,162,2,0.004896,0.000808,6.6621,1.0993
9,M,my,0.3586,0.4259,36,43,2,0.004849,0.000594,6.5986,0.8087
10,AE,password,1.4365,1.5266,144,153,1,0.004791,0.000933,6.5189,1.2700
11,AY,my,1.2056,1.2771,121,128,2,0.004780,0.000648,6.5051,0.8823
12,D,password,1.7968,1.8868,180,189,1,0.004646,0.000739,6.3227,1.0051
13,AY,my,0.4259,0.4931,43,49,2,0.004552,0.000829,6.1943,1.1277
14,P,password,1.3465,1.4365,135,144,1,0.004505,0.000629,6.1308,0.8558
15,ER,password,1.7067,1.7968,171,180,1,0.004138,0.000855,5.6316,1.1641
