rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,V,voice,0.5700,0.6733,57,67,1,0.006633,0.001142,7.8103,1.3443
2,S,voice,0.7767,0.8800,78,88,2,0.006538,0.001964,7.6976,2.3119
3,AY,my,0.4350,0.5000,44,50,2,0.006442,0.001528,7.5853,1.7993
4,M,my,1.1400,1.2100,114,121,2,0.006219,0.001593,7.3231,1.8752
5,Z,is,1.0350,1.0800,104,108,1,0.005896,0.001197,6.9425,1.4092
6,M,my,0.3700,0.4350,37,44,2,0.005788,0.001265,6.8152,1.4894
7,AY,my,1.2100,1.2800,121,128,2,0.005743,0.001317,6.7619,1.5506
8,OY,voice,0.6733,0.7767,67,78,1,0.005716,0.001134,6.7300,1.3348
9,IH,is,0.9900,1.0350,99,104,1,0.005702,0.000902,6.7136,1.0620
10,AE,password,1.4383,1.5267,144,153,1,0.005602,0.000911,6.5958,1.0723
11,P,password,1.3500,1.4383,135,144,1,0.005446,0.001248,6.4128,1.4696
12,D,password,1.7917,1.8800,179,188,1,0.005078,0.001218,5.9796,1.4344
13,S,password,1.5267,1.6150,153,162,2,0.005028,0.001468,5.9200,1.7281
14,ER,password,1.7033,1.7917,170,179,1,0.004791,0.000797,5.6412,0.9380
15,W,password,1.6150,1.7033,162,170,1,0.004307,0.000690,5.0710,0.8121
