rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,W,twenty,2.0725,2.1574,207,216,2,0.003545,0.000496,5.1619,0.7226
2,N,twenty,2.2422,2.3270,224,233,3,0.003236,0.000551,4.7124,0.8030
3,T,twenty,2.3270,2.4119,233,241,4,0.003113,0.000433,4.5325,0.6302
4,Z,has,1.7816,1.8665,178,187,1,0.003101,0.000519,4.5148,0.7551
5,W,twenty,2.7028,2.7876,270,279,2,0.003057,0.000466,4.4513,0.6782
6,IY,jealousy,1.3635,1.4908,136,149,3,0.003033,0.000416,4.4169,0.6055
7,S,jealousy,1.2362,1.3635,124,136,1,0.002959,0.000336,4.3087,0.4893
8,AH,jealousy,1.1090,1.2362,111,124,2,0.002919,0.000423,4.2508,0.6154
9,EH,twenty,2.1574,2.2422,216,224,3,0.002889,0.000472,4.2070,0.6873
10,T,twenty,1.9877,2.0725,199,207,4,0.002802,0.000350,4.0793,0.5102
11,N,twenty,2.8724,2.9573,287,296,3,0.002795,0.000219,4.0692,0.3192
12,T,twenty,2.6179,2.7028,262,270,4,0.002773,0.000508,4.0373,0.7391
13,AE,has,1.6968,1.7816,170,178,1,0.002733,0.000406,3.9792,0.5908
14,L,jealousy,0.9817,1.1090,98,111,1,0.002686,0.000511,3.9117,0.7439
15,IY,twenty,2.4119,2.4967,241,250,3,0.002656,0.000348,3.8670,0.5073
16,IY,twenty,3.0421,3.1270,304,313,3,0.002626,0.000251,3.8239,0.3648
17,EH,twenty,2.7876,2.8724,279,287,3,0.002564,0.000316,3.7341,0.4599
18,HH,has,1.6120,1.6968,161,170,1,0.002553,0.000644,3.7175,0.9384
19,T,twenty,2.9573,3.0421,296,304,4,0.002533,0.000315,3.6887,0.4587
20,EH,jealousy,0.8545,0.9817,85,98,3,0.002343,0.000531,3.4111,0.7726
21,V,vision,3.2482,3.3500,325,335,1,0.002189,0.000183,3.1879,0.2661
22,ZH,vision,3.4518,3.5536,345,355,1,0.001980,0.000207,2.8828,0.3007
23,JH,jealousy,0.7272,0.8545,73,85,1,0.001936,0.000230,2.8185,0.3345
24,IH,vision,3.3500,3.4518,335,345,1,0.001916,0.000325,2.7904,0.4736
25,AH,vision,3.5536,3.6554,355,366,2,0.001892,0.000178,2.7555,0.2592
26,N,vision,3.6554,3.7572,366,376,3,0.001847,0.000208,2.6897,0.3034
