rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,W,twenty,1.4521,1.5116,145,151,2,0.004454,0.000995,4.6359,1.0361
2,T,twenty,1.6305,1.6899,163,169,4,0.004190,0.000723,4.3614,0.7529
3,Z,has,1.2483,1.3078,125,131,1,0.004154,0.000823,4.3244,0.8564
4,W,twenty,1.8937,1.9532,189,195,2,0.004085,0.000523,4.2519,0.5443
5,IY,twenty,1.6899,1.7494,169,175,3,0.004049,0.000801,4.2145,0.8335
6,HH,has,1.1294,1.1889,113,119,1,0.003888,0.000470,4.0471,0.4888
7,N,twenty,1.5710,1.6305,157,163,3,0.003856,0.000614,4.0138,0.6392
8,AE,has,1.1889,1.2483,119,125,1,0.003852,0.000916,4.0096,0.9536
9,EH,twenty,1.9532,2.0126,195,201,3,0.003841,0.000765,3.9980,0.7962
10,T,twenty,1.3927,1.4521,139,145,4,0.003831,0.000698,3.9879,0.7268
11,EH,twenty,1.5116,1.5710,151,157,3,0.003813,0.000515,3.9695,0.5357
12,IY,jealousy,0.9554,1.0445,96,104,3,0.003781,0.000704,3.9353,0.7328
13,T,twenty,1.8343,1.8937,183,189,4,0.003775,0.000918,3.9298,0.9551
14,N,twenty,2.0126,2.0720,201,207,3,0.003741,0.000896,3.8940,0.9330
15,L,jealousy,0.6879,0.7770,69,78,1,0.003597,0.000747,3.7440,0.7772
16,AH,vision,2.4899,2.5612,249,256,2,0.003575,0.000712,3.7217,0.7409
17,IH,vision,2.3472,2.4185,235,242,1,0.003546,0.000482,3.6916,0.5017
18,T,twenty,2.0720,2.1315,207,213,4,0.003522,0.000636,3.6666,0.6619
19,AH,jealousy,0.7770,0.8662,78,87,2,0.003470,0.000931,3.6123,0.9690
20,ZH,vision,2.4185,2.4899,242,249,1,0.003431,0.000608,3.5714,0.6334
21,EH,jealousy,0.5987,0.6879,60,69,3,0.003391,0.000929,3.5303,0.9672
22,IY,twenty,2.1315,2.1909,213,219,3,0.003341,0.000687,3.4776,0.7155
23,S,jealousy,0.8662,0.9554,87,96,1,0.003315,0.000825,3.4502,0.8586
24,V,vision,2.2759,2.3472,228,235,1,0.003294,0.000661,3.4289,0.6885
25,N,vision,2.5612,2.6325,256,263,3,0.003288,0.000520,3.4221,0.5413
26,JH,jealousy,0.5095,0.5987,51,60,1,0.002988,0.000624,3.1101,0.6498
