rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,IY,twenty,1.6668,1.7255,167,173,3,0.004230,0.000735,4.3485,0.7552
2,Z,has,1.2313,1.2899,123,129,1,0.004179,0.000663,4.2956,0.6820
3,AE,has,1.1726,1.2313,117,123,1,0.004164,0.000772,4.2804,0.7933
4,W,twenty,1.4323,1.4909,143,149,2,0.004158,0.000680,4.2738,0.6988
5,T,twenty,1.6082,1.6668,161,167,4,0.004079,0.000438,4.1934,0.4499
6,HH,has,1.1140,1.1726,111,117,1,0.004058,0.000798,4.1716,0.8202
7,N,twenty,1.5496,1.6082,155,161,3,0.004048,0.000691,4.1610,0.7104
8,T,twenty,1.3737,1.4323,137,143,4,0.004007,0.000546,4.1190,0.5616
9,EH,twenty,1.4909,1.5496,149,155,3,0.003981,0.000659,4.0923,0.6772
10,T,twenty,1.8092,1.8678,181,187,4,0.003833,0.000614,3.9402,0.6309
11,IY,jealousy,0.9423,1.0302,94,103,3,0.003819,0.000703,3.9259,0.7230
12,EH,twenty,1.9265,1.9851,193,199,3,0.003785,0.000635,3.8903,0.6526
13,AH,jealousy,0.7664,0.8544,77,85,2,0.003777,0.000711,3.8824,0.7304
14,T,twenty,2.0437,2.1024,204,210,4,0.003774,0.000425,3.8795,0.4367
15,W,twenty,1.8678,1.9265,187,193,2,0.003762,0.000503,3.8671,0.5169
16,S,jealousy,0.8544,0.9423,85,94,1,0.003761,0.000701,3.8657,0.7202
17,JH,jealousy,0.5026,0.5905,50,59,1,0.003735,0.000741,3.8388,0.7618
18,EH,jealousy,0.5905,0.6785,59,68,3,0.003661,0.000619,3.7628,0.6358
19,IY,twenty,2.1024,2.1610,210,216,3,0.003605,0.000709,3.7058,0.7290
20,L,jealousy,0.6785,0.7664,68,77,1,0.003587,0.000734,3.6871,0.7547
21,N,twenty,1.9851,2.0437,199,204,3,0.003535,0.000557,3.6338,0.5725
22,V,vision,2.2448,2.3151,224,232,1,0.003384,0.000649,3.4790,0.6670
23,IH,vision,2.3151,2.3855,232,239,1,0.003287,0.000647,3.3788,0.6646
24,AH,vision,2.4558,2.5262,246,253,2,0.003076,0.000590,3.1615,0.6065
25,ZH,vision,2.3855,2.4558,239,246,1,0.003036,0.000622,3.1206,0.6391
26,N,vision,2.5262,2.5966,253,260,3,0.002963,0.000576,3.0454,0.5924
