rank,phoneme,word,occurrence,start,end,start_frame,end_frame,mean_attention,std_attention,attention_pct,attention_pct_std
1,IH,is,1,0.9830,1.0308,98,103,0.005201,0.000985,7.40,1.40
2,S,voice,2,0.7676,0.8734,77,87,0.005100,0.000987,7.25,1.40
3,AE,password,1,1.4365,1.5266,144,153,0.005085,0.000709,7.23,1.01
4,OY,voice,1,0.6619,0.7676,66,77,0.005025,0.000890,7.15,1.27
5,Z,is,1,1.0308,1.0786,103,108,0.004898,0.000794,6.97,1.13
6,S,password,2,1.5266,1.6167,153,162,0.004815,0.000795,6.85,1.13
7,M,my,2,0.3586,0.4259,36,43,0.004320,0.000995,6.83,1.41
7,M,my,2,1.1342,1.2056,113,121,0.004804,0.000691,6.83,0.98
8,AY,my,2,0.4259,0.4931,43,49,0.004564,0.001087,6.77,1.55
8,AY,my,2,1.2056,1.2771,121,128,0.004759,0.000700,6.77,1.00
9,P,password,1,1.3465,1.4365,135,144,0.004733,0.000698,6.73,0.99
10,V,voice,1,0.5561,0.6619,56,66,0.004683,0.000926,6.66,1.32
12,W,password,1,1.6167,1.7067,162,171,0.004361,0.000607,6.20,0.86
14,ER,password,1,1.7067,1.7968,171,180,0.004024,0.000675,5.72,0.96
15,D,password,1,1.7968,1.8868,180,189,0.003928,0.000817,5.59,1.16
