rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,EH,never,2.2661,2.4527,227,245,1,0.003704,0.000633,7.7142,1.3180
2,N,never,2.0795,2.2661,208,227,1,0.003615,0.000403,7.5292,0.8394
3,V,never,2.4527,2.6393,245,264,1,0.003443,0.000419,7.1705,0.8717
4,T,pot,1.8484,1.9728,185,197,2,0.003350,0.000757,6.9769,1.5770
5,AA,pot,1.7240,1.8484,172,185,2,0.003282,0.000697,6.8354,1.4518
6,CH,watched,1.3063,1.3997,131,140,1,0.003251,0.000732,6.7709,1.5253
7,ER,never,2.6393,2.8260,264,283,1,0.003220,0.000722,6.7057,1.5037
8,T,watched,1.3997,1.4930,140,149,2,0.003188,0.000694,6.6397,1.4456
9,AA,watched,1.2130,1.3063,121,131,2,0.003004,0.000741,6.2560,1.5441
10,W,watched,1.1197,1.2130,112,121,1,0.002996,0.000942,6.2402,1.9628
11,P,pot,1.5996,1.7240,160,172,1,0.002993,0.000627,6.2333,1.3048
12,AH,a,0.6398,1.0131,64,101,1,0.002508,0.000691,5.2241,1.4391
13,L,boils,3.1192,3.2125,312,321,1,0.002445,0.000804,5.0912,1.6741
14,B,boils,2.9326,3.0259,293,303,1,0.002444,0.000606,5.0895,1.2616
15,Z,boils,3.2125,3.3058,321,331,1,0.002380,0.000513,4.9574,1.0679
16,OY,boils,3.0259,3.1192,303,312,1,0.002192,0.000227,4.5660,0.4729
