rank,phoneme,word,start,end,start_frame,end_frame,occurrence,mean_attention,std_attention,attention_pct,attention_pct_std
1,Z,boils,2.0197,2.0784,202,208,1,0.004953,0.001637,6.7992,2.2469
2,W,watched,0.7040,0.7626,70,76,1,0.004907,0.000976,6.7359,1.3399
3,AA,watched,0.7626,0.8213,76,82,2,0.004742,0.000867,6.5100,1.1908
4,ER,never,1.6593,1.7767,166,178,1,0.004732,0.000861,6.4967,1.1816
5,L,boils,1.9610,2.0197,196,202,1,0.004705,0.001631,6.4585,2.2386
6,AH,a,0.4023,0.6369,40,64,1,0.004680,0.000877,6.4251,1.2034
7,V,never,1.5420,1.6593,154,166,1,0.004530,0.000804,6.2186,1.1039
8,T,pot,1.1621,1.2403,116,124,2,0.004500,0.000749,6.1773,1.0276
9,T,watched,0.8800,0.9386,88,94,2,0.004492,0.000696,6.1659,0.9554
10,OY,boils,1.9024,1.9610,190,196,1,0.004454,0.001629,6.1140,2.2360
11,AA,pot,1.0839,1.1621,108,116,2,0.004413,0.000671,6.0587,0.9208
12,CH,watched,0.8213,0.8800,82,88,1,0.004409,0.000650,6.0520,0.8925
13,N,never,1.3074,1.4247,131,142,1,0.004385,0.000464,6.0191,0.6365
14,P,pot,1.0057,1.0839,101,108,1,0.004373,0.000838,6.0025,1.1498
15,B,boils,1.8437,1.9024,184,190,1,0.004322,0.001301,5.9337,1.7854
16,EH,never,1.4247,1.5420,142,154,1,0.004249,0.000605,5.8329,0.8310
